                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1068,                0.75735,                 1.3207,                0.89779,                0.85692,                0.92186,                0.52372,                 1.4796,                0.75279,                  1.628,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1144,                0.74489,                 1.3268,                0.83442,                0.81941,                 0.8596,                0.50263,                 1.5226,                 0.8441,                 1.7519,               0.001307,               0.001307,               0.001307
                     37,                 1.1224,                0.74775,                 1.3353,                0.88925,                0.80512,                0.87666,                0.48781,                 1.6195,                0.86449,                 1.7804,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0747,                 0.7311,                 1.3121,                 0.8593,                0.82927,                0.86204,                0.46479,                 1.6474,                0.84025,                 1.8283,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0996,                0.73406,                 1.3103,                0.85602,                0.84553,                0.86105,                0.49437,                 1.5058,                0.83708,                 1.6736,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0954,                0.73763,                 1.3329,                0.91286,                0.66396,                 0.7987,                0.42537,                 1.7322,                 1.1293,                 1.8867,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1046,                0.73263,                 1.3246,                0.93293,                0.84553,                0.89907,                0.50421,                 1.5407,                0.84314,                 1.7216,               0.001208,               0.001208,               0.001208
                     42,                 1.0493,                0.69396,                 1.2961,                0.89806,                0.85944,                0.90951,                0.53574,                 1.4755,                0.74775,                 1.6699,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0792,                 0.6885,                 1.3086,                0.88583,                0.79946,                0.86558,                0.49115,                 1.5219,                0.80992,                 1.6934,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0875,                0.70165,                 1.3128,                0.86303,                 0.8645,                0.90298,                0.50493,                 1.5725,                0.83632,                 1.7208,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0492,                0.68897,                 1.2915,                0.84446,                0.82114,                0.86752,                0.49597,                 1.5615,                0.85994,                 1.7705,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0332,                0.67752,                 1.2842,                0.90049,                 0.8374,                 0.8985,                0.53124,                 1.4761,                0.79054,                 1.6457,               0.001109,               0.001109,               0.001109
                     47,                 1.0324,                0.67938,                 1.2669,                0.87598,                0.90515,                0.92862,                 0.5313,                 1.4676,                0.74353,                 1.6864,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0322,                0.66825,                 1.2819,                 0.8608,                0.86721,                 0.9071,                0.51826,                 1.4964,                0.75579,                 1.6669,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0395,                0.65876,                 1.2864,                0.91095,                0.88708,                0.93112,                0.56028,                 1.4417,                0.70818,                 1.6053,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0202,                0.65431,                 1.2667,                0.93101,                0.83469,                0.91811,                 0.5107,                 1.5786,                0.78034,                 1.7636,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0238,                0.63679,                 1.2731,                0.89573,                0.85095,                0.89671,                 0.5249,                 1.4766,                0.74779,                 1.6668,                0.00101,                0.00101,                0.00101
