                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.217,                 2.1433,                  1.207,                0.63565,                0.61122,                0.64539,                0.41671,                 1.2158,                 1.8582,                 1.2388,             0.00041543,             0.00041543,             0.00041543
                      2,                 1.2602,                 1.5489,                 1.2403,                0.73328,                0.69824,                0.74803,                0.48715,                 1.1724,                 1.2958,                 1.2101,             0.00082386,             0.00082386,             0.00082386
                      3,                 1.2514,                 1.3255,                 1.2502,                0.72034,                 0.6325,                0.68884,                0.45582,                  1.186,                 1.1668,                 1.2265,               0.001224,               0.001224,               0.001224
                      4,                 1.2434,                 1.2469,                  1.238,                0.81949,                0.70569,                0.82118,                 0.5576,                 1.1681,                 1.0021,                 1.1797,              0.0012129,              0.0012129,              0.0012129
                      5,                  1.176,                 1.1048,                 1.1969,                0.86143,                0.73124,                0.84921,                  0.595,                 1.0885,                0.89666,                 1.1427,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1557,                 1.0386,                 1.1885,                0.83842,                0.74175,                0.85991,                0.61204,                 1.0914,                0.90525,                  1.123,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.1466,                 1.0093,                 1.1799,                0.85658,                 0.8231,                0.89738,                0.64774,                 1.0321,                0.76939,                 1.1128,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.1122,                0.93639,                  1.161,                0.89041,                  0.723,                0.88258,                0.62401,                 1.0753,                0.87912,                 1.1223,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1001,                0.90414,                  1.155,                0.91288,                0.83731,                0.92755,                0.68664,                  1.005,                 0.7267,                 1.0877,               0.001151,               0.001151,               0.001151
                     10,                 1.0821,                0.87659,                 1.1397,                0.91223,                0.87802,                 0.9354,                 0.6862,                0.99902,                0.69698,                 1.0841,              0.0011386,              0.0011386,              0.0011386
                     11,                  1.072,                0.84477,                  1.134,                0.90542,                0.87192,                0.92815,                0.68695,                 1.0035,                0.66396,                 1.0579,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.0636,                0.84016,                 1.1344,                0.91261,                0.87131,                0.93788,                0.69736,                0.99146,                0.64185,                 1.0709,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.0366,                0.81899,                 1.1186,                0.94321,                0.87962,                0.94551,                0.70479,                0.95532,                0.60461,                 1.0585,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.0475,                0.78895,                 1.1207,                0.93471,                0.88677,                0.94851,                0.71646,                0.97068,                0.58329,                 1.0655,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.0236,                0.76528,                 1.1186,                0.94888,                0.89201,                0.95147,                0.72877,                 0.9209,                0.56441,                 1.0304,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.0087,                0.75357,                 1.1096,                0.93577,                0.87536,                0.95078,                0.73568,                0.93527,                0.59516,                 1.0363,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.0174,                0.74554,                 1.1097,                  0.936,                0.91115,                0.96054,                0.73241,                0.93709,                0.54786,                 1.0359,               0.001052,               0.001052,               0.001052
                     18,                 1.0063,                0.73995,                 1.0996,                0.94992,                0.91651,                0.96152,                0.74117,                0.90788,                0.54147,                 1.0214,              0.0010396,              0.0010396,              0.0010396
                     19,                0.99429,                0.71763,                  1.105,                0.95399,                0.92598,                0.96375,                0.74598,                0.91395,                0.53668,                  1.021,              0.0010273,              0.0010273,              0.0010273
                     20,                0.99095,                0.70584,                 1.1014,                0.95155,                0.92475,                0.96676,                0.74351,                0.90661,                0.52102,                 1.0195,              0.0010149,              0.0010149,              0.0010149
                     21,                0.98791,                0.69966,                 1.0926,                0.97135,                0.89542,                0.96024,                0.75163,                0.91058,                0.52131,                 1.0232,              0.0010025,              0.0010025,              0.0010025
                     22,                0.97914,                0.69982,                 1.0913,                0.95663,                0.92267,                0.97264,                0.75632,                0.90774,                0.51855,                 1.0233,             0.00099013,             0.00099013,             0.00099013
                     23,                0.97123,                0.67941,                 1.0828,                0.95628,                0.91221,                0.96222,                0.74757,                 0.9051,                0.50658,                  1.011,             0.00097775,             0.00097775,             0.00097775
                     24,                0.97242,                0.67663,                 1.0844,                0.95297,                0.90951,                0.96894,                0.75292,                0.90384,                0.50885,                 1.0173,             0.00096537,             0.00096537,             0.00096537
                     25,                0.96778,                0.68307,                 1.0877,                0.94935,                0.93698,                0.97425,                0.76208,                0.89489,                 0.4851,                 1.0074,               0.000953,               0.000953,               0.000953
                     26,                0.96778,                 0.6698,                 1.0834,                 0.9662,                 0.9296,                0.97088,                0.76555,                0.87465,                0.48282,                 1.0082,             0.00094062,             0.00094062,             0.00094062
                     27,                0.96245,                0.65568,                 1.0766,                0.95682,                0.90046,                0.96089,                0.74727,                0.89789,                0.51122,                 1.0159,             0.00092825,             0.00092825,             0.00092825
                     28,                0.94246,                0.64376,                  1.073,                0.95017,                0.92134,                0.96771,                0.74983,                0.89756,                0.50847,                 1.0063,             0.00091588,             0.00091588,             0.00091588
                     29,                0.94747,                 0.6355,                   1.07,                0.96257,                0.93619,                0.97043,                0.75896,                0.90403,                0.48834,                  1.013,              0.0009035,              0.0009035,              0.0009035
                     30,                 0.9486,                0.64323,                 1.0764,                0.93438,                0.93993,                0.97109,                0.76639,                 0.8863,                  0.472,                 1.0126,             0.00089112,             0.00089112,             0.00089112
                     31,                0.93156,                  0.632,                 1.0705,                0.96261,                0.94594,                0.97173,                0.76508,                0.87025,                0.46746,                0.99058,             0.00087875,             0.00087875,             0.00087875
                     32,                0.92715,                0.62478,                 1.0623,                0.96542,                0.93641,                0.97229,                0.76814,                0.89124,                0.46052,                 1.0103,             0.00086637,             0.00086637,             0.00086637
                     33,                0.93257,                0.62138,                 1.0666,                0.95627,                0.94325,                0.97196,                0.76457,                0.86374,                0.46143,                0.99519,               0.000854,               0.000854,               0.000854
                     34,                0.92802,                0.60649,                 1.0649,                0.92819,                0.95407,                0.97423,                0.76448,                0.87309,                 0.4552,                 1.0117,             0.00084162,             0.00084162,             0.00084162
                     35,                0.91604,                 0.6068,                 1.0589,                0.96752,                0.94825,                0.97796,                0.76768,                 0.8681,                0.45628,                0.99282,             0.00082925,             0.00082925,             0.00082925
                     36,                0.92461,                0.60633,                 1.0619,                0.96465,                0.95332,                0.98056,                0.77399,                0.85652,                0.44548,                0.98872,             0.00081688,             0.00081688,             0.00081688
                     37,                0.91282,                 0.5978,                 1.0591,                0.97634,                0.96127,                0.97738,                0.78133,                0.86146,                0.43056,                0.99072,              0.0008045,              0.0008045,              0.0008045
                     38,                0.90416,                0.59049,                 1.0518,                0.95867,                0.94609,                0.97655,                0.78368,                0.85264,                0.44506,                0.98304,             0.00079213,             0.00079213,             0.00079213
                     39,                0.90557,                0.58888,                 1.0522,                0.96236,                0.93561,                0.97001,                0.77344,                0.85655,                0.45971,                0.98351,             0.00077975,             0.00077975,             0.00077975
                     40,                0.89586,                0.58194,                 1.0447,                0.94232,                0.95291,                0.97912,                0.77639,                0.86116,                0.44782,                0.97894,             0.00076738,             0.00076738,             0.00076738
                     41,                0.90064,                0.57872,                 1.0485,                 0.9242,                 0.9385,                0.96901,                0.77376,                0.87351,                0.44315,                  1.001,               0.000755,               0.000755,               0.000755
                     42,                0.88941,                0.56312,                 1.0408,                0.96288,                0.95565,                 0.9775,                0.79189,                0.84279,                0.41706,                0.98435,             0.00074263,             0.00074263,             0.00074263
                     43,                0.89422,                0.56795,                 1.0416,                0.95818,                0.94602,                 0.9801,                0.78371,                0.86366,                 0.4269,                0.98298,             0.00073025,             0.00073025,             0.00073025
                     44,                0.88668,                0.56722,                 1.0394,                0.96922,                0.93662,                0.97306,                0.79146,                0.84461,                0.42838,                0.97867,             0.00071788,             0.00071788,             0.00071788
                     45,                0.88405,                0.56956,                  1.042,                0.96665,                0.96756,                0.97779,                0.79734,                0.83059,                0.41881,                0.97345,              0.0007055,              0.0007055,              0.0007055
                     46,                0.88463,                0.56577,                   1.04,                0.96198,                 0.9598,                0.98088,                0.79292,                0.83976,                0.42008,                0.97123,             0.00069313,             0.00069313,             0.00069313
                     47,                0.87281,                 0.5549,                 1.0356,                0.95966,                0.95918,                0.97601,                0.78285,                0.84772,                0.42726,                0.97849,             0.00068075,             0.00068075,             0.00068075
                     48,                0.87095,                0.54441,                  1.034,                0.94043,                0.95356,                0.97596,                0.79725,                0.82686,                0.41994,                0.96716,             0.00066838,             0.00066838,             0.00066838
                     49,                0.87612,                0.54938,                 1.0318,                0.96312,                0.95586,                0.98226,                0.79608,                0.83069,                0.41172,                0.96976,               0.000656,               0.000656,               0.000656
                     50,                0.85914,                0.53967,                 1.0283,                0.96696,                0.95549,                0.98016,                0.79674,                0.83982,                0.41372,                0.96263,             0.00064362,             0.00064362,             0.00064362
                     51,                0.85762,                0.53282,                 1.0254,                0.96922,                0.96473,                 0.9839,                0.80072,                0.83709,                0.40923,                0.96649,             0.00063125,             0.00063125,             0.00063125
                     52,                0.85185,                 0.5284,                 1.0234,                0.97308,                0.97038,                0.98486,                0.80619,                0.82957,                0.39545,                0.96657,             0.00061887,             0.00061887,             0.00061887
                     53,                0.85522,                 0.5263,                 1.0262,                0.98137,                0.96899,                0.98375,                0.79828,                0.82914,                0.39952,                0.96531,              0.0006065,              0.0006065,              0.0006065
